GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	214.023	109.473	0.448	0.470	Y	NA
DRD5	MUT	214.023	8.371	0.027	0.027	N	NA
EGF	MUT	214.023	3.674	0.009	0.009	N	NA
GRIN2A	MUT	214.023	5.726	0.021	0.024	N	NA
LAMB1	MUT	214.023	5.938	0.015	0.015	N	NA
PIK3CA	MUT	214.023	31.215	0.091	0.091	Y	NA
PTEN	MUT	214.023	82.314	0.290	0.314	Y	NA
GLI3	MUT	214.023	9.637	0.018	0.018	N	NA
MET	MUT	214.023	11.254	0.030	0.030	Y	NA
SEC61G	AMPL	6.833	37.325	0.159	0.317	N	NA
PCDHA10	DEL	3.897	5.329	0.024	0.024	N	NA
