GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	306.001	64.697	0.113	0.116	NA	NA
CHEK2	MUT	306.001	6.707	0.012	0.024	NA	NA
MDM2	AMPL	306.001	35.160	0.058	0.076	NA	NA
EGFR	AMPL	306.001	212.540	0.393	0.393	NA	NA
MAP2K1	MUT	306.001	0.933	0.003	0.003	NA	NA
PTEN	MUT	306.001	146.881	0.299	0.314	NA	NA
MFGE8	MUT	306.001	0.933	0.003	0.003	NA	NA
YEATS4	AMPL	306.001	8.345	0.021	0.024	NA	NA
FRS2	AMPL	306.001	12.203	0.024	0.024	NA	NA
ZNF713	AMPL	15.790	7.096	0.076	0.116	NA	NA
CCR4	MUT	11.012	0.034	0.003	0.003	NA	NA
STXBP1	MUT	10.721	3.263	0.006	0.006	NA	NA
SEC61G	AMPL	6.291	60.025	0.177	0.317	NA	NA
LYZ	AMPL	5.979	4.209	0.021	0.027	NA	NA
TLR1	MUT	5.952	0.018	0.003	0.006	NA	NA
JAG1	MUT	3.475	3.345	0.006	0.012	NA	NA
PHKG1	AMPL	3.254	11.889	0.064	0.079	NA	NA
PPP1R3A	MUT	2.695	0.033	0.006	0.027	NA	NA
SF3A1	MUT	2.602	0.008	0.003	0.006	NA	NA
