GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	314.679	15.969	0.030	0.030	NA	NA
EGFR	AMPL	314.679	212.540	0.393	0.393	NA	NA
GABRA6	MUT	314.679	10.281	0.024	0.027	NA	NA
PTEN	MUT	314.679	146.881	0.299	0.314	NA	NA
FBN1	MUT	314.679	4.091	0.012	0.012	NA	NA
CDK4	AMPL	314.679	64.697	0.113	0.116	NA	NA
GPR45	MUT	314.679	8.903	0.012	0.012	NA	NA
FFAR3	DEL	314.679	19.468	0.055	0.067	NA	NA
SEC61G	AMPL	13.733	60.025	0.177	0.317	NA	NA
CELSR2	MUT	6.958	0.021	0.003	0.003	NA	NA
TAP2	MUT	3.834	3.242	0.006	0.009	NA	NA
