GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CEBPB	MUT	311.094	0.948	0.003	0.003	N	NA
DRD5	MUT	311.094	8.371	0.027	0.027	N	NA
EGFR	MUT	311.094	132.502	0.393	0.393	Y	NA
PIK3R1	MUT	311.094	31.710	0.091	0.091	Y	NA
PTEN	MUT	311.094	82.314	0.290	0.314	Y	NA
TSC2	MUT	311.094	5.514	0.012	0.012	Y	NA
PIK3C2B	AMPL	311.094	17.980	0.052	0.055	N	NA
PRKCG	MUT	311.094	1.428	0.006	0.006	N	NA
RUVBL2	MUT	311.094	0.957	0.006	0.006	N	NA
SEC61G	AMPL	18.061	37.325	0.159	0.317	N	NA
BCLAF1	MUT	11.719	2.639	0.006	0.015	N	NA
RYR3	MUT	2.999	1.968	0.040	0.052	N	NA
