GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BRAF	MUT	1082.602	13.418	0.018	0.018	NA	NA
LRP6	MUT	1082.602	4.078	0.006	0.006	NA	NA
PIK3CA	MUT	1082.602	54.851	0.091	0.091	NA	NA
PLG	MUT	1082.602	5.577	0.009	0.009	NA	NA
TUBA4A	MUT	1082.602	3.301	0.003	0.003	NA	NA
CREBBP	MUT	1082.602	6.574	0.015	0.015	NA	NA
LAMA2	MUT	1082.602	13.872	0.018	0.018	NA	NA
PDGFRA	MUT	1082.602	26.689	0.055	0.055	NA	NA
RYR2	MUT	1082.602	21.623	0.052	0.079	NA	NA
CELSR1	MUT	1082.602	8.506	0.015	0.015	NA	NA
PCDHGC5	MUT	1082.602	14.185	0.107	0.110	NA	NA
FGA	MUT	1082.602	10.025	0.015	0.015	NA	NA
IL1B	MUT	5.844	0.018	0.003	0.003	NA	NA
BCL11A	MUT	2.988	0.009	0.003	0.034	NA	NA
SPTBN1	MUT	2.645	0.008	0.003	0.006	NA	NA
SAFB	MUT	2.588	0.008	0.003	0.003	NA	NA
