GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	162.736	109.473	0.448	0.470	Y	NA
CDKN2B	DEL	162.736	95.313	0.381	0.448	N	NA
IL12RB2	MUT	162.736	2.068	0.009	0.009	N	NA
PDGFRA	AMPL_MUT	162.736	14.298	0.055	0.055	Y	NA
PTEN	DEL	162.736	82.314	0.290	0.314	Y	NA
PTK2B	MUT	162.736	1.014	0.006	0.006	N	NA
RERE	MUT	162.736	5.355	0.018	0.027	N	NA
MSH6	MUT	10.908	5.981	0.015	0.018	Y	NA
PRKY	DEL	9.349	35.216	0.165	0.195	N	NA
APOB	MUT	8.103	4.333	0.030	0.040	N	NA
ELAVL2	DEL	3.638	0.343	0.088	0.143	N	NA
PCDH11Y	DEL	3.506	13.971	0.186	0.198	N	NA
