GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ASPM	MUT	284.125	5.356	0.012	0.015	N	NA
EGFR	AMPL_MUT	284.125	132.502	0.393	0.393	Y	NA
IKZF1	AMPL	284.125	9.795	0.030	0.030	Y	NA
RB1	MUT	284.125	24.137	0.067	0.070	Y	NA
TP53	MUT	284.125	93.401	0.284	0.284	Y	NA
PPIA	AMPL	284.125	9.621	0.018	0.018	N	NA
PSMA2	AMPL	284.125	8.663	0.015	0.015	N	NA
IGFBP3	AMPL	284.125	7.148	0.018	0.018	N	NA
STK17A	AMPL	284.125	8.694	0.018	0.018	N	NA
GRB10	AMPL	284.125	9.455	0.021	0.027	N	NA
MAP4K1	AMPL	284.125	3.810	0.009	0.009	N	NA
CCT6A	AMPL	7.230	7.075	0.058	0.082	N	NA
PHKG1	AMPL	6.459	4.539	0.027	0.079	N	NA
DYRK1B	AMPL	3.655	0.011	0.003	0.003	N	NA
PCDH11Y	DEL	3.104	13.971	0.186	0.198	N	NA
PCDHAC2	MUT	3.104	1.369	0.101	0.101	N	NA
