GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	318.645	109.473	0.448	0.470	Y	NA
CDKN2B	DEL	318.645	95.313	0.381	0.448	N	NA
GABRB3	MUT	318.645	5.799	0.021	0.021	N	NA
GRIN2A	MUT	318.645	5.726	0.021	0.024	N	NA
MAPK13	MUT	318.645	3.301	0.009	0.009	N	NA
PLCG1	MUT	318.645	2.292	0.012	0.012	N	NA
PTEN	MUT	318.645	82.314	0.290	0.314	Y	NA
PGR	MUT	318.645	5.872	0.015	0.018	N	NA
SMARCC2	MUT	318.645	7.979	0.015	0.015	N	NA
KIT	AMPL	318.645	18.857	0.073	0.076	Y	NA
PCM1	MUT	3.679	0.011	0.003	0.006	Y	NA
