GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADCY8	MUT	511.264	1.559	0.003	0.006	N	NA
COL6A3	MUT	511.264	11.578	0.034	0.034	N	NA
PIK3R1	MUT	511.264	31.710	0.091	0.091	Y	NA
SEC61G	AMPL	511.264	37.325	0.159	0.317	N	NA
CDKN2A	DEL	511.264	109.473	0.448	0.470	Y	NA
CDKN2B	DEL	511.264	95.313	0.381	0.448	N	NA
ERCC6L	MUT	511.264	1.667	0.006	0.006	N	NA
CD3E	MUT	511.264	2.847	0.006	0.006	N	NA
PCDH15	DEL	6.700	0.203	0.027	0.027	N	NA
PCDHAC2	MUT	6.700	1.369	0.101	0.101	N	NA
PCDHGC5	MUT	6.700	3.728	0.107	0.110	N	NA
