GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
HLA-DRB1	AMPL	304.067	53.792	0.189	0.189	N	NA
KIT	MUT	304.067	18.857	0.073	0.076	Y	NA
LAMA3	MUT	304.067	3.697	0.012	0.012	N	NA
PIK3R1	MUT	304.067	31.710	0.091	0.091	Y	NA
RB1	MUT	304.067	24.137	0.067	0.070	Y	NA
TP53	MUT	304.067	93.401	0.284	0.284	Y	NA
PTEN	MUT	304.067	82.314	0.290	0.314	Y	NA
TBL1Y	DEL	304.067	23.325	0.067	0.195	N	NA
PCDH11Y	DEL	5.890	13.971	0.186	0.198	N	NA
GNA15	MUT	2.719	0.008	0.003	0.003	N	NA
