GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ERBB2	MUT	120.173	3.861	0.021	0.021	Y	NA
KDR	AMPL	120.173	14.830	0.055	0.064	Y	NA
KIT	AMPL	120.173	18.857	0.073	0.076	Y	NA
BMI1	AMPL	79.828	0.243	0.003	0.015	N	NA
PRKCQ	AMPL	79.828	3.525	0.015	0.015	N	NA
IGFBP7	AMPL	68.222	2.423	0.012	0.015	N	NA
ITGA8	AMPL	68.222	3.929	0.015	0.015	N	NA
ITGB1	AMPL	68.222	6.519	0.018	0.018	N	NA
CALML5	AMPL	29.971	3.415	0.015	0.015	N	NA
PCDH9	DEL	18.669	0.122	0.015	0.015	N	NA
CEP135	AMPL	7.244	1.860	0.021	0.027	N	NA
CUGBP2	AMPL	5.045	0.015	0.003	0.012	N	NA
EPC1	AMPL	4.097	5.684	0.018	0.018	N	NA
