GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
DNMBP	MUT	364.931	6.093	0.018	0.024	N	NA
DOCK2	MUT	364.931	3.263	0.012	0.018	N	NA
EGFR	AMPL	364.931	132.502	0.393	0.393	Y	NA
KDR	AMPL	364.931	14.830	0.055	0.064	Y	NA
KIT	AMPL	364.931	18.857	0.073	0.076	Y	NA
LRP2	MUT	364.931	10.450	0.043	0.046	N	NA
PTEN	MUT	364.931	82.314	0.290	0.314	Y	NA
FLNC	MUT	364.931	8.199	0.024	0.024	N	NA
CDKN2A	DEL	19.792	109.473	0.448	0.470	Y	NA
PCDH7	MUT	10.103	0.086	0.012	0.012	N	NA
PRKDC	MUT	2.758	3.336	0.021	0.021	N	NA
