GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BCR	MUT	389.541	3.005	0.009	0.009	Y	NA
CBL	MUT	389.541	1.717	0.006	0.006	Y	NA
CDKN2A	MUT	389.541	109.473	0.448	0.470	Y	NA
MAPK13	MUT	389.541	3.301	0.009	0.009	N	NA
PGR	MUT	389.541	5.872	0.015	0.018	N	NA
TP53	MUT	389.541	93.401	0.284	0.284	Y	NA
MSH6	MUT	389.541	5.981	0.015	0.018	Y	NA
ERBB3	MUT	389.541	6.598	0.012	0.012	N	NA
ITGB3	MUT	389.541	4.926	0.012	0.012	N	NA
COL1A1	MUT	389.541	5.018	0.012	0.012	Y	NA
COL6A2	MUT	389.541	9.922	0.027	0.027	N	NA
FN1	MUT	389.541	7.917	0.018	0.018	N	NA
LYN	MUT	389.541	3.380	0.009	0.009	N	NA
NOS3	AMPL_MUT	389.541	11.530	0.027	0.027	N	NA
GLI3	MUT	389.541	9.637	0.018	0.018	N	NA
PDGFRB	MUT	389.541	2.568	0.009	0.012	Y	NA
PRKCA	MUT	389.541	2.705	0.006	0.006	N	NA
KIT	MUT	389.541	18.857	0.073	0.076	Y	NA
ANK1	MUT	6.610	6.127	0.024	0.037	N	NA
PCDH24	AMPL	3.665	0.011	0.003	0.003	N	NA
ELAVL2	MUT	3.205	0.343	0.088	0.143	N	NA
