GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
KALRN	MUT	261.282	2.045	0.006	0.012	N	NA
KDR	MUT	261.282	14.830	0.055	0.064	Y	NA
PIK3R1	MUT	261.282	31.710	0.091	0.091	Y	NA
TP53	MUT	261.282	93.401	0.284	0.284	Y	NA
TCF12	MUT	261.282	1.875	0.009	0.012	Y	NA
CD79B	DEL	25.340	0.077	0.003	0.006	Y	NA
PCDH11Y	DEL	8.605	13.971	0.186	0.198	N	NA
PCDHAC2	MUT	8.605	1.369	0.101	0.101	N	NA
PCDHGC5	MUT	8.605	3.728	0.107	0.110	N	NA
ATN1	MUT	3.973	2.392	0.012	0.015	N	NA
