GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CCND2	AMPL	170.002	6.393	0.015	0.015	NA	NA
MIB1	MUT	170.002	0.528	0.006	0.009	NA	NA
SP1	MUT	170.002	0.518	0.003	0.003	NA	NA
TP53	MUT	170.002	159.942	0.284	0.284	NA	NA
PTPN6	AMPL	170.002	4.132	0.009	0.009	NA	NA
TNFRSF1A	AMPL	170.002	2.942	0.009	0.009	NA	NA
NCAPD2	AMPL	170.002	2.931	0.006	0.006	NA	NA
ERC1	AMPL	170.002	3.245	0.009	0.009	NA	NA
NTF3	AMPL	170.002	4.154	0.009	0.009	NA	NA
CD4	AMPL	170.002	4.867	0.009	0.009	NA	NA
FZD10	MUT	170.002	2.974	0.012	0.012	NA	NA
GNB3	AMPL	170.002	2.931	0.006	0.006	NA	NA
WNT5B	AMPL	170.002	3.004	0.009	0.009	NA	NA
VAMP1	AMPL	11.058	2.446	0.006	0.006	NA	NA
KLRC2	AMPL	6.486	0.654	0.009	0.015	NA	NA
VWF	AMPL	2.732	11.650	0.024	0.030	NA	NA
