GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
EPS8	MUT	212.549	0.648	0.003	0.006	N	NA
FRS2	AMPL	212.549	7.884	0.024	0.024	N	NA
SH3GL2	MUT	212.549	3.445	0.012	0.012	N	NA
GABRA6	MUT	212.549	4.936	0.024	0.027	N	NA
GLI1	AMPL	212.549	14.500	0.030	0.064	N	NA
LRP1	AMPL	212.549	14.023	0.034	0.034	N	NA
PTPRB	AMPL	212.549	7.825	0.021	0.021	N	NA
STAT6	AMPL	212.549	8.118	0.021	0.021	N	NA
IFNG	AMPL	212.549	12.541	0.034	0.034	N	NA
CDK4	AMPL	35.324	35.342	0.113	0.116	Y	NA
