GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
FRS2	AMPL	169.414	8.601	0.024	0.024	N	NA
PRKY	DEL	169.414	35.216	0.165	0.195	N	NA
PTEN	MUT	169.414	82.314	0.290	0.314	Y	NA
IFNG	AMPL	169.414	12.991	0.034	0.034	N	NA
RAN	DEL	169.414	0.517	0.003	0.003	N	NA
CCT2	AMPL	25.954	1.831	0.024	0.030	N	NA
CNOT2	AMPL	12.849	6.076	0.012	0.021	N	NA
PCDH11Y	DEL	6.856	13.971	0.186	0.198	N	NA
MDM2	AMPL	5.933	13.172	0.052	0.076	Y	NA
FZD10	DEL	2.809	0.214	0.006	0.012	N	NA
