GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	290.541	9.989	0.030	0.030	N	NA
BSG	AMPL	290.541	2.968	0.006	0.006	N	NA
CALM1	MUT	290.541	0.886	0.003	0.003	N	NA
EGFR	AMPL	290.541	132.502	0.393	0.393	Y	NA
CDKN2A	DEL	290.541	109.473	0.448	0.470	Y	NA
CDKN2B	DEL	290.541	95.313	0.381	0.448	N	NA
DMD	MUT	290.541	10.659	0.027	0.040	N	NA
BLM	MUT	290.541	0.886	0.003	0.003	Y	NA
DNMT1	AMPL	290.541	2.113	0.006	0.006	N	NA
HLA-DRB1	AMPL	290.541	53.792	0.189	0.189	N	NA
RYR2	MUT	290.541	10.346	0.049	0.079	N	NA
TYK2	AMPL	290.541	1.777	0.012	0.012	N	NA
CDH8	AMPL	3.425	0.032	0.006	0.006	N	NA
PCDHGC5	MUT	3.425	3.728	0.107	0.110	N	NA
KLHL9	DEL	3.313	19.638	0.104	0.229	N	NA
