GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATP7A	MUT	699.655	2.133	0.003	0.006	N	NA
PTEN	MUT	699.655	71.767	0.290	0.314	Y	NA
TTN	MUT	699.655	22.558	0.052	0.207	N	NA
ATM	MUT	14.979	6.127	0.018	0.018	Y	NA
IKZF1	MUT	14.979	11.486	0.030	0.030	Y	NA
FRYL	MUT	13.081	0.040	0.003	0.009	N	NA
PRKY	DEL	8.968	28.173	0.162	0.195	N	NA
PCDH11Y	DEL	6.190	1.627	0.186	0.198	N	NA
PCDHAC2	MUT	6.190	1.317	0.101	0.101	N	NA
TBL1Y	DEL	5.547	19.983	0.067	0.195	N	NA
