GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	409.938	109.473	0.448	0.470	Y	NA
CDKN2B	DEL	409.938	95.313	0.381	0.448	N	NA
DOCK2	MUT	409.938	3.263	0.012	0.018	N	NA
EGFR	AMPL_MUT	409.938	132.502	0.393	0.393	Y	NA
LAMB4	MUT	409.938	6.607	0.018	0.018	N	NA
PRKY	DEL	409.938	35.216	0.165	0.195	N	NA
FBLN2	MUT	409.938	5.024	0.018	0.018	N	NA
HSPG2	MUT	409.938	11.767	0.024	0.024	N	NA
HLA-DRB1	AMPL	409.938	53.792	0.189	0.189	N	NA
DCHS2	MUT	7.267	0.093	0.015	0.015	N	NA
PCDH11Y	DEL	7.267	13.971	0.186	0.198	N	NA
SCML2	MUT	3.544	0.019	0.006	0.006	N	NA
