GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
RAB3GAP2	MUT	33.281	2.188	0.012	0.012	N	NA
COL4A4	MUT	28.556	2.415	0.009	0.009	N	NA
ITGB7	MUT	28.556	2.532	0.009	0.009	N	NA
HLA-DRB1	AMPL	16.193	44.146	0.189	0.189	N	NA
PTEN	MUT	6.109	71.767	0.290	0.314	Y	NA
TEK	DEL	6.109	9.692	0.034	0.064	N	NA
XIAP	DEL	5.836	0.018	0.003	0.003	N	NA
ELAVL2	DEL	3.579	0.343	0.088	0.143	N	NA
CDKN2A	DEL	2.539	99.102	0.448	0.470	Y	NA
CDKN2B	DEL	2.539	85.947	0.381	0.448	N	NA
