GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
EGFR	AMPL	183.753	131.644	0.393	0.393	Y	NA
JUP	MUT	183.753	1.658	0.006	0.006	N	NA
CDKN2A	DEL	47.650	108.256	0.448	0.470	Y	NA
CDKN2B	DEL	47.650	94.208	0.381	0.448	N	NA
SHANK3	MUT	7.550	0.041	0.006	0.006	N	NA
DNAH9	MUT	5.663	6.140	0.027	0.027	N	NA
NXF1	MUT	5.031	0.015	0.003	0.003	N	NA
DCHS1	MUT	3.758	0.031	0.006	0.006	N	NA
CACNA1H	MUT	2.995	1.258	0.027	0.043	N	NA
MAPK8IP3	MUT	2.799	1.590	0.006	0.006	N	NA
KLHL9	DEL	2.706	18.689	0.104	0.229	N	NA
