GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK1	DEL	318.354	6.127	0.024	0.037	N	NA
BTRC	DEL	318.354	4.253	0.015	0.015	N	NA
BUB3	DEL	318.354	7.887	0.021	0.021	N	NA
CDK4	AMPL	318.354	38.700	0.113	0.116	Y	NA
ITGB1	DEL	318.354	6.519	0.018	0.018	N	NA
TCF7L2	DEL	318.354	6.095	0.021	0.021	Y	NA
DNMBP	DEL	318.354	6.093	0.018	0.024	N	NA
ERBB3	DEL	318.354	6.598	0.012	0.012	N	NA
LAMC3	MUT	318.354	3.858	0.015	0.015	N	NA
LRP1	DEL	318.354	15.134	0.034	0.034	N	NA
MAPK8	DEL	318.354	7.587	0.018	0.018	N	NA
PTEN	DEL	318.354	82.314	0.290	0.314	Y	NA
RIMS2	MUT	318.354	9.322	0.034	0.034	N	NA
SLC18A2	DEL	318.354	4.503	0.018	0.018	N	NA
VLDLR	DEL	318.354	2.188	0.012	0.012	N	NA
CDKN2A	DEL	318.354	109.473	0.448	0.470	Y	NA
DNAH9	MUT	318.354	5.911	0.027	0.027	N	NA
FAS	DEL	318.354	6.765	0.018	0.024	N	NA
PIK3CG	MUT	318.354	13.686	0.037	0.037	N	NA
CDKN2B	DEL	318.354	95.313	0.381	0.448	N	NA
PLAU	DEL	318.354	7.887	0.021	0.021	N	NA
FGFR2	DEL	318.354	8.876	0.027	0.027	Y	NA
FLT1	MUT	318.354	5.928	0.018	0.018	N	NA
GRK5	DEL	318.354	0.981	0.006	0.018	N	NA
IFNG	DEL	318.354	12.991	0.034	0.034	N	NA
JAK2	DEL	318.354	1.755	0.006	0.006	Y	NA
STAT6	DEL	318.354	8.145	0.021	0.021	N	NA
MDM2	AMPL	318.354	13.172	0.052	0.076	Y	NA
EPC1	DEL	318.354	5.684	0.018	0.018	N	NA
SMARCA2	DEL	318.354	5.195	0.015	0.021	N	NA
SMARCC2	DEL	318.354	7.979	0.015	0.015	N	NA
DDIT3	AMPL	9.011	4.834	0.018	0.073	Y	NA
PSIP1	DEL	5.394	2.113	0.009	0.012	N	NA
KCNV2	DEL	5.078	1.083	0.006	0.012	N	NA
CDH23	DEL	4.052	7.287	0.030	0.030	N	NA
CDH9	MUT	4.052	0.150	0.021	0.021	N	NA
