GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
DNMBP	MUT	359.720	6.093	0.018	0.024	N	NA
EGFR	MUT	359.720	132.502	0.393	0.393	Y	NA
IGF2R	MUT	359.720	3.164	0.006	0.006	N	NA
PIK3CA	MUT	359.720	31.215	0.091	0.091	Y	NA
GABRB2	MUT	359.720	4.485	0.015	0.015	N	NA
SH3GL3	MUT	359.720	1.554	0.006	0.006	N	NA
PRKDC	MUT	359.720	3.336	0.021	0.021	N	NA
CDKN2A	DEL	32.949	109.473	0.448	0.470	Y	NA
CDKN2B	DEL	32.949	95.313	0.381	0.448	N	NA
CDH19	MUT	3.809	0.029	0.006	0.006	N	NA
APOB	MUT	3.591	4.333	0.030	0.040	N	NA
KLHL9	DEL	2.695	19.638	0.104	0.229	N	NA
