GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	279.723	109.473	0.448	0.470	Y	NA
COL6A2	MUT	279.723	9.922	0.027	0.027	N	NA
EGFR	MUT	279.723	132.502	0.393	0.393	Y	NA
HLA-DRB1	AMPL	279.723	53.792	0.189	0.189	N	NA
IFNGR1	MUT	279.723	0.853	0.003	0.003	N	NA
SLC6A3	AMPL	279.723	4.775	0.018	0.018	N	NA
MAP3K4	MUT	22.742	0.095	0.009	0.009	N	NA
PCDHAC2	MUT	7.506	1.369	0.101	0.101	N	NA
PCDHGC5	MUT	7.506	3.728	0.107	0.110	N	NA
APOB	MUT	4.249	4.333	0.030	0.040	N	NA
EEF1A1	MUT	3.127	0.032	0.009	0.012	N	NA
