GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ARHGDIB	DEL	163.245	1.691	0.006	0.006	N	NA
HDAC2	MUT	163.245	4.730	0.012	0.012	N	NA
RB1	MUT	163.245	22.063	0.067	0.070	Y	NA
TP53	MUT	163.245	81.522	0.284	0.284	Y	NA
HLA-DRB1	DEL	163.245	44.146	0.189	0.189	N	NA
HLA-DQA1	DEL	163.245	1.412	0.006	0.009	N	NA
PIK3C2G	DEL	163.245	6.223	0.027	0.027	N	NA
PLCG1	MUT	163.245	2.306	0.012	0.012	N	NA
COL2A1	DEL	5.370	4.670	0.009	0.009	N	NA
CNTN1	DEL	2.848	2.194	0.006	0.006	N	NA
