GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AKT3	AMPL	438.492	1.914	0.006	0.006	N	NA
CDK4	AMPL	438.492	38.700	0.113	0.116	Y	NA
EGFR	AMPL	438.492	132.502	0.393	0.393	Y	NA
PRKY	DEL	438.492	35.216	0.165	0.195	N	NA
MDM2	AMPL	438.492	13.172	0.052	0.076	Y	NA
MACF1	MUT	438.492	1.356	0.009	0.024	N	NA
TBL1Y	DEL	438.492	23.325	0.067	0.195	N	NA
SDCCAG8	AMPL	438.492	1.741	0.009	0.012	N	NA
CDH9	MUT	16.568	0.150	0.021	0.021	N	NA
PCDH11Y	DEL	16.568	13.971	0.186	0.198	N	NA
PCDHGC5	MUT	16.568	3.728	0.107	0.110	N	NA
