GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AKT1	MUT	394.621	2.823	0.012	0.012	Y	NA
EGFR	AMPL_MUT	394.621	132.502	0.393	0.393	Y	NA
HLA-DRB1	AMPL	394.621	53.792	0.189	0.189	N	NA
PIK3CB	MUT	394.621	4.623	0.009	0.009	N	NA
SYNJ1	AMPL	394.621	2.281	0.006	0.006	N	NA
VEGFA	MUT	394.621	3.795	0.012	0.012	N	NA
NF1	MUT	394.621	20.651	0.055	0.095	Y	NA
PCDHB4	MUT	394.621	1.245	0.006	0.006	N	NA
CIT	MUT	8.323	1.254	0.006	0.006	N	NA
CHL1	MUT	5.715	2.907	0.015	0.021	N	NA
CACNA1H	MUT	3.136	1.221	0.027	0.043	N	NA
RYR3	MUT	3.136	1.968	0.040	0.052	N	NA
