GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
EGFR	AMPL	231.111	107.539	0.393	0.393	Y	NA
RYR2	MUT	231.111	5.641	0.046	0.079	N	NA
LAMA2	MUT	231.111	4.967	0.018	0.018	N	NA
PIK3C2G	MUT	231.111	3.473	0.018	0.027	N	NA
TAP1	MUT	30.634	0.093	0.003	0.003	N	NA
CDK4	AMPL	23.438	30.284	0.110	0.116	Y	NA
CDKN2A	DEL	23.438	80.355	0.412	0.470	Y	NA
PCDHAC2	MUT	4.276	0.319	0.055	0.101	N	NA
DCTN2	AMPL	3.359	3.868	0.027	0.064	N	NA
SCML2	MUT	2.819	1.197	0.006	0.006	N	NA
