GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ARAP2	MUT	712.404	3.741	0.006	0.006	NA	NA
AXIN1	MUT	712.404	2.172	0.003	0.003	NA	NA
COL14A1	MUT	712.404	5.259	0.012	0.015	NA	NA
EGFR	AMPL	712.404	212.175	0.393	0.393	NA	NA
ITGB4	MUT	712.404	4.550	0.009	0.012	NA	NA
PIK3R1	MUT	712.404	51.800	0.091	0.091	NA	NA
SMAD4	MUT	712.404	5.280	0.006	0.006	NA	NA
TTN	MUT	712.404	37.836	0.098	0.207	NA	NA
OPRM1	MUT	712.404	2.172	0.003	0.003	NA	NA
DMD	MUT	712.404	20.171	0.040	0.040	NA	NA
CCT6A	AMPL	20.917	16.576	0.073	0.082	NA	NA
PHKG1	AMPL	8.059	11.850	0.064	0.079	NA	NA
FAT2	MUT	7.256	0.182	0.018	0.027	NA	NA
POLA1	MUT	2.817	0.009	0.003	0.003	NA	NA
OASL	MUT	2.646	0.027	0.006	0.006	NA	NA
ZNF713	AMPL	2.521	7.057	0.076	0.116	NA	NA
