GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CD1D	MUT	305.158	1.060	0.006	0.012	N	NA
FLNC	AMPL	305.158	3.378	0.015	0.024	N	NA
PIK3CG	AMPL	305.158	7.628	0.027	0.037	N	NA
MET	AMPL	305.158	2.945	0.012	0.030	Y	NA
TP53	MUT	305.158	75.162	0.284	0.284	Y	NA
PTEN	MUT	305.158	48.749	0.238	0.314	Y	NA
GNAT3	MUT	4.248	0.555	0.015	0.027	N	NA
PCDHGC5	MUT	4.159	0.582	0.085	0.110	N	NA
CHP2	MUT	3.358	0.010	0.003	0.006	N	NA
CUL1	MUT	3.322	2.168	0.009	0.021	N	NA
