GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CTNNA2	MUT	255.246	0.778	0.003	0.009	N	NA
EGFR	MUT	255.246	107.539	0.393	0.393	Y	NA
FLNB	MUT	255.246	0.799	0.006	0.006	N	NA
PTPRC	MUT	255.246	0.778	0.003	0.006	N	NA
ELMO1	MUT	255.246	1.732	0.006	0.030	N	NA
CCT6A	AMPL	11.740	3.699	0.055	0.082	N	NA
LRRC7	MUT	7.386	0.183	0.012	0.015	N	NA
CDKN2A	DEL	6.800	80.355	0.412	0.470	Y	NA
CACNA1E	MUT	3.284	0.020	0.006	0.015	N	NA
PTEN	MUT	2.743	48.749	0.238	0.314	Y	NA
