GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	307.430	64.369	0.113	0.116	NA	NA
PIK3R1	DEL	307.430	51.800	0.091	0.091	NA	NA
ITGAM	MUT	307.430	6.275	0.015	0.015	NA	NA
PTPRB	AMPL	307.430	4.406	0.012	0.021	NA	NA
CTSG	MUT	307.430	0.937	0.003	0.006	NA	NA
KDR	AMPL	307.430	14.455	0.024	0.064	NA	NA
KIT	AMPL	307.430	21.746	0.055	0.076	NA	NA
ADCY5	MUT	8.779	0.039	0.006	0.018	NA	NA
CEP135	AMPL	7.340	6.032	0.021	0.027	NA	NA
ADD1	MUT	4.054	3.050	0.006	0.006	NA	NA
RBP2	MUT	2.679	0.008	0.003	0.003	NA	NA
