GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
APOB	MUT	386.774	17.396	0.037	0.040	NA	NA
COL6A2	MUT	386.774	13.173	0.024	0.027	NA	NA
EGFR	MUT	386.774	212.175	0.393	0.393	NA	NA
IFNGR1	MUT	386.774	1.179	0.003	0.003	NA	NA
SLC6A3	AMPL	386.774	7.884	0.018	0.018	NA	NA
CDKN2A	DEL	386.774	174.479	0.421	0.470	NA	NA
SMC1A	MUT	386.774	4.216	0.012	0.015	NA	NA
MAP3K4	MUT	25.911	1.180	0.009	0.009	NA	NA
CCT5	AMPL	12.717	0.039	0.003	0.006	NA	NA
PCDHGC5	MUT	10.318	13.926	0.085	0.110	NA	NA
ZNF543	MUT	8.092	0.034	0.006	0.006	NA	NA
EEF1A1	MUT	3.127	0.032	0.009	0.012	NA	NA
NUP205	MUT	2.931	4.179	0.012	0.015	NA	NA
ATP8B3	MUT	2.908	0.026	0.009	0.009	NA	NA
