GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
FRS2	AMPL	169.414	2.268	0.012	0.024	N	NA
PRKY	DEL	169.414	29.734	0.162	0.195	N	NA
PTEN	MUT	169.414	59.917	0.247	0.314	Y	NA
IFNG	AMPL	169.414	7.544	0.024	0.034	N	NA
RAN	DEL	169.414	0.517	0.003	0.003	N	NA
CCT2	AMPL	25.954	0.202	0.012	0.030	N	NA
CNOT2	AMPL	12.849	1.339	0.006	0.021	N	NA
PCDH11Y	DEL	6.856	9.813	0.186	0.198	N	NA
MDM2	AMPL	5.933	0.393	0.015	0.076	Y	NA
FZD10	DEL	2.809	0.009	0.003	0.012	N	NA
