GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	999.152	174.479	0.421	0.470	NA	NA
EGFR	AMPL_MUT	999.152	212.175	0.393	0.393	NA	NA
IKBKB	MUT	999.152	3.046	0.003	0.003	NA	NA
ITGA11	MUT	999.152	3.046	0.003	0.003	NA	NA
SRPK1	MUT	999.152	4.061	0.006	0.009	NA	NA
KDR	MUT	999.152	14.455	0.024	0.064	NA	NA
GRIN2A	MUT	999.152	17.131	0.024	0.024	NA	NA
WNT10A	MUT	999.152	3.130	0.006	0.006	NA	NA
PRKY	DEL	999.152	74.809	0.174	0.195	NA	NA
ITPR2	MUT	999.152	3.046	0.003	0.018	NA	NA
SEC61G	AMPL	24.922	13.748	0.122	0.317	NA	NA
PCDH11Y	DEL	12.051	29.231	0.189	0.198	NA	NA
OTX2	MUT	8.890	0.027	0.003	0.006	NA	NA
TNXB	MUT	4.382	0.040	0.009	0.009	NA	NA
RPS4Y1	DEL	2.556	2.683	0.027	0.192	NA	NA
