GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
EGFR	AMPL	183.753	119.198	0.393	0.393	Y	NA
JUP	MUT	183.753	0.560	0.003	0.006	N	NA
CDKN2A	DEL	47.650	86.834	0.418	0.470	Y	NA
SHANK3	MUT	7.550	0.041	0.006	0.006	N	NA
DNAH9	MUT	5.663	2.580	0.018	0.027	N	NA
NXF1	MUT	5.031	0.015	0.003	0.003	N	NA
DCHS1	MUT	3.758	0.031	0.006	0.006	N	NA
CACNA1H	MUT	2.995	1.258	0.027	0.043	N	NA
MAPK8IP3	MUT	2.799	0.009	0.003	0.006	N	NA
KLHL9	DEL	2.706	1.053	0.058	0.229	N	NA
