GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	642.913	174.479	0.421	0.470	NA	NA
EGFR	AMPL_MUT	642.913	212.175	0.393	0.393	NA	NA
MYH9	MUT	642.913	3.775	0.009	0.012	NA	NA
PTEN	MUT	642.913	126.731	0.259	0.314	NA	NA
PRKCA	MUT	642.913	4.113	0.006	0.006	NA	NA
KDR	MUT	642.913	14.455	0.024	0.064	NA	NA
LRP2	MUT	642.913	16.539	0.043	0.046	NA	NA
RALGDS	MUT	642.913	3.662	0.006	0.006	NA	NA
CELSR1	MUT	642.913	8.478	0.015	0.015	NA	NA
IFNA1	DEL	642.913	8.152	0.024	0.256	NA	NA
ZNF713	AMPL	11.784	7.057	0.076	0.116	NA	NA
PARK7	DEL	9.313	0.071	0.012	0.015	NA	NA
