GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTB	AMPL	411.443	2.878	0.006	0.012	N	NA
EGFR	AMPL_MUT	411.443	120.585	0.393	0.393	Y	NA
HNRNPA2B1	AMPL	411.443	3.058	0.006	0.012	Y	NA
PSMA2	AMPL	411.443	6.717	0.015	0.015	N	NA
PTEN	MUT	411.443	59.917	0.247	0.314	Y	NA
RAC1	AMPL	411.443	1.254	0.003	0.006	N	NA
RB1	MUT	411.443	11.726	0.040	0.070	Y	NA
IGFBP3	AMPL	411.443	1.325	0.009	0.018	N	NA
ADCYAP1R1	AMPL	411.443	3.097	0.006	0.018	N	NA
AQP1	AMPL	3.948	0.024	0.006	0.018	N	NA
TAX1BP1	AMPL	2.545	0.008	0.003	0.015	N	NA
