GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	531.918	84.193	0.418	0.470	Y	NA
EGFR	AMPL	531.918	118.279	0.393	0.393	Y	NA
LAMB3	MUT	531.918	3.305	0.009	0.012	N	NA
PIK3CA	MUT	531.918	29.179	0.091	0.091	Y	NA
PHKG1	AMPL	531.918	3.731	0.061	0.079	N	NA
VAV1	MUT	531.918	4.467	0.009	0.009	N	NA
SREBF1	MUT	29.047	0.089	0.003	0.003	N	NA
SEC61G	AMPL	21.077	5.807	0.101	0.317	N	NA
CCT6A	AMPL	16.556	4.002	0.055	0.082	N	NA
PCDHAC2	MUT	3.923	0.288	0.055	0.101	N	NA
