GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADAM12	DEL	500.868	5.961	0.018	0.024	N	NA
CRKL	MUT	500.868	1.527	0.003	0.006	N	NA
EGFR	AMPL	500.868	107.539	0.393	0.393	Y	NA
VAMP3	DEL	500.868	2.128	0.009	0.012	N	NA
ITGB7	MUT	500.868	2.420	0.009	0.009	N	NA
CDKN2A	MUT	500.868	80.355	0.412	0.470	Y	NA
DFFB	DEL	500.868	1.527	0.003	0.009	N	NA
HLA-DRB1	AMPL	500.868	33.660	0.174	0.189	N	NA
CDH23	DEL	10.309	1.650	0.021	0.030	N	NA
PPP3CB	DEL	3.710	0.052	0.015	0.024	N	NA
