GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
GRID2	MUT	109.820	0.335	0.003	0.006	NA	NA
FLNA	MUT	61.130	6.188	0.015	0.018	NA	NA
ITGAD	MUT	61.130	3.175	0.006	0.006	NA	NA
BARD1	MUT	26.132	0.080	0.003	0.006	NA	NA
CDKN2A	DEL	26.132	174.479	0.421	0.470	NA	NA
NUPL2	MUT	8.629	5.480	0.012	0.018	NA	NA
RBMX	MUT	8.629	3.582	0.009	0.009	NA	NA
WNT2	MUT	8.490	19.829	0.030	0.030	NA	NA
PCDHGC5	MUT	7.362	13.926	0.085	0.110	NA	NA
DVL2	MUT	4.121	0.989	0.006	0.012	NA	NA
CFH	MUT	3.270	0.164	0.018	0.021	NA	NA
PTEN	DEL	3.152	126.731	0.259	0.314	NA	NA
PLXNB3	MUT	2.911	0.009	0.003	0.003	NA	NA
CSF2RB	MUT	2.672	4.574	0.012	0.018	NA	NA
KALRN	MUT	2.609	2.744	0.009	0.012	NA	NA
