GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANAPC1	MUT	272.522	0.831	0.003	0.006	N	NA
CDKN2A	DEL	272.522	87.395	0.418	0.470	Y	NA
CDKN2B	DEL	272.522	6.735	0.037	0.448	N	NA
CDK5RAP2	MUT	272.522	0.831	0.003	0.006	N	NA
EGFR	AMPL_MUT	272.522	120.585	0.393	0.393	Y	NA
LAMA3	MUT	272.522	3.539	0.012	0.012	N	NA
HLA-DRB1	AMPL	272.522	40.415	0.165	0.189	N	NA
SEC61G	AMPL	6.661	6.041	0.101	0.317	N	NA
EEF1A1	MUT	4.957	0.032	0.009	0.012	N	NA
PCDH15	MUT	4.102	0.139	0.012	0.027	N	NA
CACNA1C	MUT	3.160	0.010	0.003	0.015	N	NA
