GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BLM	MUT	287.815	0.877	0.003	0.003	Y	NA
BSG	AMPL	287.815	0.877	0.003	0.006	N	NA
CALM1	MUT	287.815	0.877	0.003	0.003	N	NA
EGFR	AMPL	287.815	120.585	0.393	0.393	Y	NA
CDKN2A	DEL	287.815	87.395	0.418	0.470	Y	NA
DMD	MUT	287.815	2.058	0.006	0.040	N	NA
DNMT1	AMPL	287.815	2.079	0.006	0.006	N	NA
RYR2	MUT	287.815	1.437	0.024	0.079	N	NA
PCDHGC5	MUT	3.425	2.288	0.085	0.110	N	NA
KLHL9	DEL	3.313	1.054	0.058	0.229	N	NA
