GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDC2	DEL	361.514	2.994	0.009	0.009	N	NA
CDK4	AMPL	361.514	35.868	0.113	0.116	Y	NA
EGFR	AMPL_MUT	361.514	120.585	0.393	0.393	Y	NA
ITGA8	DEL	361.514	2.564	0.012	0.015	N	NA
LAMA3	MUT	361.514	3.539	0.012	0.012	N	NA
NOS3	MUT	361.514	8.173	0.021	0.027	N	NA
PTEN	DEL	361.514	59.917	0.247	0.314	Y	NA
PLAU	DEL	361.514	2.120	0.006	0.021	N	NA
EPC1	DEL	361.514	3.492	0.012	0.018	N	NA
IFNG	DEL	361.514	7.544	0.024	0.034	N	NA
KIT	AMPL	361.514	10.725	0.055	0.076	Y	NA
PCDHGC5	MUT	4.089	2.288	0.085	0.110	N	NA
PNLIP	DEL	3.887	0.022	0.006	0.015	N	NA
GLI1	AMPL	3.631	7.774	0.046	0.064	N	NA
PPP3CB	DEL	3.205	0.052	0.015	0.024	N	NA
