GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDH23	DEL	221.468	1.650	0.021	0.030	N	NA
CTNNB1	MUT	221.468	1.504	0.006	0.006	Y	NA
COL3A1	MUT	221.468	1.782	0.006	0.018	N	NA
EGFR	MUT	221.468	107.539	0.393	0.393	Y	NA
SLC17A7	MUT	221.468	1.633	0.006	0.006	N	NA
HLA-DRB1	AMPL	221.468	33.660	0.174	0.189	N	NA
NFATC1	MUT	221.468	0.675	0.003	0.003	N	NA
PTEN	MUT	221.468	48.749	0.238	0.314	Y	NA
RYR2	MUT	25.362	5.641	0.046	0.079	N	NA
ZNF274	MUT	2.947	0.009	0.003	0.006	N	NA
