GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	346.886	87.395	0.418	0.470	Y	NA
PIK3R1	MUT	346.886	29.878	0.091	0.091	Y	NA
PSIP1	DEL	346.886	1.074	0.006	0.012	N	NA
SSRP1	MUT	6.255	0.019	0.003	0.003	N	NA
MVP	MUT	6.050	0.018	0.003	0.009	N	NA
VLDLR	DEL	4.062	1.171	0.009	0.012	N	NA
PCDH11Y	DEL	3.311	9.813	0.186	0.198	N	NA
GLIS3	DEL	2.863	0.009	0.003	0.006	N	NA
ELAVL2	DEL	2.827	0.343	0.088	0.143	N	NA
PRKY	DEL	2.681	29.734	0.162	0.195	N	NA
