GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CACNA1I	DEL	207.985	0.661	0.009	0.012	N	NA
CDKN2A	DEL	207.985	87.395	0.418	0.470	Y	NA
MCM5	DEL	207.985	0.634	0.003	0.009	N	NA
EP300	DEL	207.985	2.492	0.006	0.009	Y	NA
EGFR	MUT	207.985	120.585	0.393	0.393	Y	NA
LAMB4	MUT	207.985	5.950	0.018	0.018	N	NA
PRKCB	MUT	207.985	0.882	0.006	0.009	N	NA
STAT1	MUT	207.985	0.634	0.003	0.006	N	NA
YWHAH	DEL	207.985	0.634	0.003	0.003	N	NA
PPARA	DEL	6.247	1.859	0.009	0.009	N	NA
CELSR1	DEL	3.561	0.047	0.009	0.015	N	NA
GRAP2	DEL	2.943	0.815	0.006	0.006	N	NA
