GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	489.393	64.369	0.113	0.116	NA	NA
EPS8	MUT	489.393	1.492	0.003	0.006	NA	NA
FRS2	AMPL	489.393	3.674	0.012	0.024	NA	NA
GLI1	AMPL	489.393	40.388	0.064	0.064	NA	NA
PTPRB	AMPL	489.393	4.406	0.012	0.021	NA	NA
STAT6	AMPL	489.393	10.234	0.012	0.021	NA	NA
IFNG	AMPL	489.393	6.031	0.015	0.034	NA	NA
LY96	MUT	489.393	1.518	0.006	0.006	NA	NA
MYO1A	AMPL	489.393	1.492	0.003	0.027	NA	NA
PIP4K2C	AMPL	489.393	9.208	0.021	0.076	NA	NA
CNOT2	AMPL	489.393	2.141	0.006	0.021	NA	NA
INHBC	AMPL	489.393	1.536	0.012	0.052	NA	NA
MDM2	AMPL	489.393	11.506	0.018	0.076	NA	NA
YEATS4	AMPL	489.393	8.337	0.021	0.024	NA	NA
NUP107	AMPL	8.572	11.638	0.021	0.021	NA	NA
ZNF718	MUT	8.061	1.553	0.009	0.012	NA	NA
KIF5A	AMPL	5.752	19.046	0.055	0.064	NA	NA
CPSF6	AMPL	2.666	0.016	0.006	0.027	NA	NA
KCNC2	AMPL	2.598	0.026	0.009	0.015	NA	NA
