GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
COL3A1	MUT	137.041	9.083	0.015	0.018	NA	NA
PRKDC	MUT	137.041	8.781	0.021	0.021	NA	NA
TP53	MUT	137.041	159.660	0.284	0.284	NA	NA
GRM7	MUT	9.927	0.030	0.003	0.006	NA	NA
KIT	AMPL	7.431	21.746	0.055	0.076	NA	NA
CCKAR	AMPL	7.075	0.051	0.006	0.006	NA	NA
ZNF319	MUT	5.642	0.017	0.003	0.003	NA	NA
MAPK15	MUT	3.883	0.012	0.003	0.003	NA	NA
MIB1	MUT	3.291	0.010	0.003	0.009	NA	NA
RHOH	AMPL	3.175	0.010	0.003	0.003	NA	NA
DMD	MUT	2.684	20.171	0.040	0.040	NA	NA
