GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CHEK2	MUT	467.704	1.489	0.006	0.024	Y	NA
DNAH9	MUT	467.704	2.630	0.018	0.027	N	NA
ERBB4	MUT	467.704	1.426	0.003	0.003	N	NA
F2	MUT	467.704	1.426	0.003	0.006	N	NA
HLA-DRB1	AMPL	467.704	40.415	0.165	0.189	N	NA
MAPK8	MUT	467.704	3.706	0.009	0.018	N	NA
PRKY	DEL	467.704	29.734	0.162	0.195	N	NA
TSC2	MUT	467.704	2.360	0.006	0.012	Y	NA
CNTNAP1	MUT	467.704	1.444	0.006	0.006	N	NA
FGFR3	MUT	467.704	3.268	0.009	0.015	Y	NA
PCDH11Y	DEL	15.577	9.813	0.186	0.198	N	NA
TBL1Y	DEL	2.774	5.607	0.021	0.195	N	NA
