GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CREB1	MUT	242.838	0.740	0.003	0.003	NA	NA
EGFR	MUT	242.838	212.175	0.393	0.393	NA	NA
DNM1L	AMPL	242.838	0.740	0.003	0.009	NA	NA
HLA-DRB1	AMPL	242.838	79.274	0.171	0.189	NA	NA
KRAS	AMPL_MUT	242.838	0.740	0.003	0.009	NA	NA
CDKN2A	DEL	5.536	174.479	0.421	0.470	NA	NA
ALB	MUT	4.642	0.024	0.006	0.009	NA	NA
TTN	MUT	3.057	37.836	0.098	0.207	NA	NA
ALMS1	MUT	3.029	1.631	0.006	0.006	NA	NA
ZNF208	MUT	2.968	0.162	0.012	0.015	NA	NA
CACNA1H	DEL	2.887	4.135	0.034	0.043	NA	NA
