GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CD44	MUT	270.353	3.065	0.009	0.009	N	NA
EGFR	AMPL_MUT	270.353	107.539	0.393	0.393	Y	NA
CDKN2A	DEL	270.353	80.355	0.412	0.470	Y	NA
PTEN	MUT	270.353	48.749	0.238	0.314	Y	NA
KIT	AMPL	270.353	8.798	0.046	0.076	Y	NA
MYF5	MUT	14.208	0.717	0.006	0.006	N	NA
PCDHGC5	MUT	9.334	0.582	0.085	0.110	N	NA
SEC61G	AMPL	7.989	6.444	0.107	0.317	N	NA
PPP3CB	MUT	3.797	0.052	0.015	0.024	N	NA
PRKCQ	MUT	2.625	0.982	0.006	0.015	N	NA
