GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CD36	AMPL	496.992	7.814	0.009	0.021	NA	NA
COL1A2	AMPL	496.992	25.619	0.043	0.043	NA	NA
EGFR	MUT	496.992	212.175	0.393	0.393	NA	NA
GNAI1	AMPL	496.992	12.893	0.018	0.018	NA	NA
GNAT3	AMPL	496.992	13.377	0.024	0.027	NA	NA
GNGT1	AMPL	496.992	11.600	0.015	0.015	NA	NA
NCF1	AMPL	496.992	8.937	0.012	0.018	NA	NA
PPIA	AMPL	496.992	4.123	0.009	0.018	NA	NA
FZD9	AMPL	496.992	4.585	0.009	0.015	NA	NA
LIMK1	AMPL	496.992	5.869	0.009	0.015	NA	NA
CFH	MUT	27.855	0.164	0.018	0.021	NA	NA
CDK6	AMPL	21.286	7.751	0.012	0.018	NA	NA
CDKN2A	DEL	21.286	174.479	0.421	0.470	NA	NA
POR	AMPL	6.518	1.994	0.012	0.015	NA	NA
BAZ1B	AMPL	5.990	1.973	0.006	0.015	NA	NA
CCT6A	AMPL	5.704	16.576	0.073	0.082	NA	NA
PHKG1	AMPL	5.416	11.850	0.064	0.079	NA	NA
APPL2	MUT	3.798	0.012	0.003	0.003	NA	NA
DBNL	AMPL	3.693	0.032	0.006	0.018	NA	NA
MYL7	AMPL	3.500	0.022	0.006	0.018	NA	NA
IKZF1	AMPL	3.232	8.054	0.015	0.030	NA	NA
