GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BRSK1	MUT	489.758	1.493	0.003	0.003	NA	NA
CCNE1	AMPL	489.758	6.516	0.009	0.009	NA	NA
HLA-DRB1	AMPL	489.758	79.274	0.171	0.189	NA	NA
PTPRF	MUT	489.758	2.694	0.006	0.012	NA	NA
TP53	MUT	489.758	159.660	0.284	0.284	NA	NA
PTEN	MUT	489.758	126.731	0.259	0.314	NA	NA
GRM5	MUT	489.758	5.881	0.012	0.012	NA	NA
TRPV6	MUT	489.758	3.195	0.006	0.024	NA	NA
ZNF786	MUT	11.518	2.069	0.006	0.018	NA	NA
PHKA1	MUT	5.847	0.018	0.003	0.006	NA	NA
CHD5	MUT	5.155	0.016	0.003	0.030	NA	NA
