GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	365.504	35.868	0.113	0.116	Y	NA
TP53	MUT	365.504	88.996	0.284	0.284	Y	NA
ERBB3	AMPL	365.504	4.522	0.012	0.012	N	NA
IFNG	AMPL	365.504	7.544	0.024	0.034	N	NA
GLI1	AMPL	365.504	7.774	0.046	0.064	N	NA
HLA-DRB1	AMPL	365.504	40.415	0.165	0.189	N	NA
PXN	AMPL	365.504	2.196	0.006	0.006	N	NA
CIT	AMPL	8.315	0.051	0.006	0.006	N	NA
PCDH11Y	DEL	5.503	9.813	0.186	0.198	N	NA
PLCZ1	AMPL	2.935	0.009	0.003	0.009	N	NA
