GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDH23	MUT	376.230	5.001	0.021	0.030	N	NA
CDKN2A	DEL	376.230	87.395	0.418	0.470	Y	NA
COL1A1	MUT	376.230	4.761	0.012	0.012	Y	NA
CTNNB1	MUT	376.230	1.962	0.006	0.006	Y	NA
FGFR1	MUT	376.230	3.431	0.009	0.012	Y	NA
PTEN	MUT	376.230	59.917	0.247	0.314	Y	NA
VLDLR	MUT	376.230	1.171	0.009	0.012	N	NA
MET	MUT	376.230	4.332	0.015	0.030	Y	NA
MLLT4	DEL	376.230	2.982	0.009	0.015	Y	NA
KLHL9	DEL	3.370	1.054	0.058	0.229	N	NA
