GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BIRC3	MUT	527.272	1.608	0.003	0.003	NA	NA
ETS1	MUT	527.272	1.608	0.003	0.003	NA	NA
HLA-DRB1	AMPL	527.272	79.274	0.171	0.189	NA	NA
SRC	MUT	527.272	2.828	0.006	0.006	NA	NA
GPR77	MUT	527.272	1.608	0.003	0.003	NA	NA
PORCN	MUT	527.272	1.685	0.006	0.006	NA	NA
NCBP2	MUT	527.272	1.608	0.003	0.003	NA	NA
MYF5	MUT	527.272	1.651	0.006	0.006	NA	NA
CDC27	MUT	41.450	4.821	0.015	0.015	NA	NA
ZNF181	MUT	10.457	0.104	0.006	0.009	NA	NA
TNXB	MUT	5.275	0.040	0.009	0.009	NA	NA
ALB	MUT	3.188	0.024	0.006	0.009	NA	NA
