GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
FRAP1	MUT	438.233	3.515	0.012	0.015	NA	NA
KLHL9	DEL	438.233	10.024	0.058	0.229	NA	NA
TP53	MUT	438.233	159.660	0.284	0.284	NA	NA
PIK3CA	AMPL	438.233	54.815	0.091	0.091	NA	NA
PSMD13	MUT	438.233	3.946	0.009	0.009	NA	NA
RFC4	AMPL	438.233	2.528	0.006	0.006	NA	NA
SFRS10	AMPL	438.233	1.336	0.003	0.003	NA	NA
HLA-DRB1	AMPL	438.233	79.274	0.171	0.189	NA	NA
POLR2H	AMPL	438.233	1.336	0.003	0.003	NA	NA
DVL3	AMPL	58.049	0.177	0.003	0.003	NA	NA
GNB4	AMPL	58.049	2.670	0.009	0.009	NA	NA
KNG1	AMPL	58.049	0.186	0.006	0.006	NA	NA
FXR1	AMPL	5.087	0.016	0.003	0.006	NA	NA
EIF4A2	AMPL	3.401	0.010	0.003	0.003	NA	NA
EHHADH	AMPL	3.155	1.711	0.006	0.006	NA	NA
