GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN1B	MUT	932.507	2.843	0.003	0.006	NA	NA
IRS1	MUT	932.507	5.515	0.009	0.009	NA	NA
PIK3CA	MUT	932.507	54.815	0.091	0.091	NA	NA
RB1	MUT	932.507	36.394	0.061	0.070	NA	NA
TP53	MUT	932.507	159.660	0.284	0.284	NA	NA
FGFR2	MUT	932.507	6.314	0.012	0.027	NA	NA
GPR19	MUT	932.507	2.851	0.006	0.006	NA	NA
ITGA7	MUT	932.507	7.056	0.006	0.006	NA	NA
CYR61	MUT	932.507	2.843	0.003	0.003	NA	NA
ZNF99	MUT	4.477	0.050	0.006	0.012	NA	NA
