GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	875.048	6.881	0.015	0.030	NA	NA
HLA-DRB1	AMPL	875.048	79.274	0.171	0.189	NA	NA
ITGA4	MUT	875.048	4.567	0.009	0.009	NA	NA
LRP2	MUT	875.048	16.539	0.043	0.046	NA	NA
TP53	MUT	875.048	159.660	0.284	0.284	NA	NA
TTN	MUT	875.048	37.836	0.098	0.207	NA	NA
KIF2B	MUT	875.048	3.760	0.018	0.018	NA	NA
SPAG5	MUT	875.048	2.668	0.003	0.012	NA	NA
PRKY	DEL	875.048	74.809	0.174	0.195	NA	NA
CPSF1	MUT	875.048	2.676	0.006	0.009	NA	NA
KIF5B	MUT	875.048	6.356	0.012	0.018	NA	NA
SEC61G	AMPL	15.333	13.748	0.122	0.317	NA	NA
PCDH11Y	DEL	9.598	29.231	0.189	0.198	NA	NA
