GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTA2	DEL	343.869	17.756	0.027	0.027	NA	NA
EGFR	AMPL	343.869	212.175	0.393	0.393	NA	NA
FAS	DEL	343.869	9.744	0.018	0.024	NA	NA
IKZF1	AMPL	343.869	8.054	0.015	0.030	NA	NA
PLCD1	MUT	343.869	4.408	0.006	0.009	NA	NA
NUPL2	DEL	5.742	5.480	0.012	0.018	NA	NA
CCT6A	AMPL	4.066	16.576	0.073	0.082	NA	NA
IFIT3	DEL	3.155	0.019	0.006	0.018	NA	NA
P2RX2	MUT	3.090	0.009	0.003	0.003	NA	NA
ZNF713	AMPL	3.014	7.057	0.076	0.116	NA	NA
IL6	DEL	2.932	4.152	0.009	0.015	NA	NA
PHKG1	AMPL	2.689	11.850	0.064	0.079	NA	NA
