GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	542.491	174.479	0.421	0.470	NA	NA
DMD	MUT	542.491	20.171	0.040	0.040	NA	NA
EGFR	AMPL	542.491	212.175	0.393	0.393	NA	NA
NTN4	MUT	542.491	3.699	0.009	0.012	NA	NA
SDC1	MUT	542.491	1.654	0.003	0.006	NA	NA
EXOC6	MUT	542.491	1.654	0.003	0.015	NA	NA
IFNB1	DEL	542.491	2.108	0.006	0.174	NA	NA
PRDM9	MUT	36.458	1.969	0.015	0.024	NA	NA
TIMELESS	MUT	5.982	0.035	0.009	0.015	NA	NA
RAB9B	MUT	5.350	0.016	0.003	0.003	NA	NA
