drug_id	drug	gene	no_mut	mut	amp	del	pvalue	anova_effect	drug_effect	slope effect	Mean_WT	Mean_MT	qvalue
1013	Nilotinib	BCR_ABL	4	4	0	0	2.54E-65	-4.86995	-2.11499	-0.0497879	4.2547	-6.33175	2.29E-61
1047	Nutlin-3a	TP53	316	314	0	2	2.79E-37	1.05647	0.45882	-0.0266144	2.88072	5.29623	1.26E-33
1017	AZD-2281	EWS_FLI1	14	14	0	0	1.03E-26	-0.774875	-0.336524	0.0771231	4.82277	2.4748	3.11E-23
34	Imatinib	BCR_ABL	4	4	0	0	4.15E-26	-3.45912	-1.50228	0.0401856	4.78053	-2.05625	9.37E-23
1061	SB590885	BRAF	45	43	2	0	2.51E-25	-0.992001	-0.430821	-0.0617752	5.0643	2.42442	4.53E-22
1036	PLX4720	BRAF	38	36	2	0	1.25E-24	-1.12952	-0.490543	-0.0553531	5.02214	2.30699	1.89E-21
1060	PD-0325901	BRAF	47	45	2	0	4.00E-17	-0.98692	-0.428614	-0.0681131	0.378819	-2.13635	5.17E-14
1019	Bosutinib	BCR_ABL	4	4	0	0	5.12E-17	-1.31211	-0.569844	0.213828	2.90379	-1.0388	5.79E-14
1029	AMG-706	KDR	2	0	2	0	2.05E-15	-1.14228	-0.496086	0.18995	4.09864	0.56225	2.06E-12
29	AZ628	BRAF	22	22	0	0	2.57E-15	-1.97235	-0.856581	-0.0822519	2.82405	-1.39306	2.32E-12
1014	RDEA119	BRAF	47	45	2	0	6.34E-15	-0.851153	-0.369651	-0.0470807	2.62219	0.125467	5.21E-12
1021	Axitinib	BCR_ABL	4	4	0	0	1.27E-14	-2.13284	-0.926283	0.106928	3.47986	-1.46677	9.55E-12
51	Dasatinib	CDKN2A	101	13	0	88	1.33E-13	-0.747229	-0.324518	-0.0627461	2.82248	-0.663693	9.25E-11
52	GNF-2	BCR_ABL	3	3	0	0	5.57E-13	-2.68957	-1.16807	-0.092588	4.46315	-1.1141	3.60E-10
56	WH-4-023	BCR_ABL	3	3	0	0	1.81E-12	-7.79996	-3.38748	-0.181017	3.74443	-12.5553	1.09E-09
1054	PD-0332991	CDKN2A	196	42	1	153	2.43E-12	-0.694277	-0.301521	-0.0180266	2.8871	1.71506	1.37E-09
51	Dasatinib	BCR_ABL	3	3	0	0	4.69E-12	-8.06408	-3.50219	-0.250501	1.77114	-15.72	2.49E-09
1062	AZD6244	BRAF	41	39	2	0	1.21E-11	-0.810962	-0.352196	-0.0278029	2.975	0.788389	6.10E-09
1023	GW 441756	FLT3	3	2	1	0	1.75E-11	-1.32786	-0.576681	0.0801709	4.24723	2.65467	8.35E-09
1054	PD-0332991	RB1	44	33	1	10	2.38E-11	0.850619	0.369419	0.114573	2.15655	4.32419	1.08E-08
56	WH-4-023	CDKN2A	103	13	0	90	3.19E-11	-0.459061	-0.199368	-0.0276527	4.58454	1.7526	1.37E-08
1011	ABT-263	NOTCH1	9	9	0	0	7.79E-10	-1.2856	-0.55833	0.131987	2.76111	-0.560367	3.20E-07
1032	BIBW2992	ERBB2	16	1	15	0	1.91E-09	-1.1061	-0.480375	-0.00115307	2.14909	-0.5361	7.52E-07
1028	VX-702	MLL_AFF1	2	2	0	0	8.98E-09	-0.862076	-0.374395	-0.151265	4.39016	1.933	3.38E-06
1015	CI-1040	BRAF	34	32	2	0	9.75E-09	-0.580843	-0.252257	-0.0247052	2.86149	1.22196	3.52E-06
1021	Axitinib	KDR	2	0	2	0	2.40E-08	-3.59547	-1.56149	-0.134822	3.45601	-0.9755	8.34E-06
38	AZD-0530	CDKN2A	108	14	0	94	2.57E-08	-0.326771	-0.141915	-0.0313354	4.35764	3.1865	8.61E-06
1016	Temsirolimus	APC	26	25	1	0	3.82E-08	0.922699	0.400723	0.0866965	-1.4353	0.649512	1.23E-05
1	Erlotinib	CDKN2A	98	12	0	86	4.11E-08	-0.464422	-0.201696	-0.0740936	4.87693	3.78993	1.28E-05
119	Lapatinib	ERBB2	3	0	3	0	5.36E-08	-2.95936	-1.28524	-0.0285873	4.18099	-1.79827	1.62E-05
37	PF-02341066	BCR_ABL	4	4	0	0	5.63E-08	-1.68293	-0.730887	0.134173	4.34399	0.345855	1.64E-05
1047	Nutlin-3a	BRAF	50	48	2	0	1.61E-07	-0.291102	-0.126424	-0.0225292	4.60535	3.45285	4.55E-05
146	A-769662	JAK2	4	0	3	1	2.16E-07	-0.136858	-0.0594367	-0.0874058	3.89699	3.46725	5.92E-05
1023	GW 441756	ALK	2	1	1	0	2.28E-07	-0.860758	-0.373823	0.0503629	4.24397	2.6015	6.06E-05
1025	SB 216763	MYCN	16	0	16	0	2.65E-07	-1.02593	-0.445556	-0.0608854	5.54271	3.66938	6.85E-05
1047	Nutlin-3a	MYCN	19	0	19	0	2.68E-07	-0.238067	-0.103391	0.0792305	4.51708	3.69576	6.72E-05
34	Imatinib	TSC1	1	1	0	0	3.19E-07	-2.11529	-0.91866	-0.464946	4.70247	1.005	7.79E-05
37	PF-02341066	CDKN2C	7	0	0	7	8.96E-07	-0.715179	-0.310598	-0.152997	4.32442	2.87874	0.00021308
1049	PD-173074	FGFR2	2	0	2	0	1.01E-06	-2.62614	-1.14052	-0.160354	3.91275	-0.8567	0.000234618
1003	Camptothecin	EWS_FLI1	14	14	0	0	1.06E-06	-1.20408	-0.522927	0.0748508	-4.05083	-7.01864	0.000238662
119	Lapatinib	CCND1	7	0	7	0	1.49E-06	-0.487732	-0.211819	0.0303465	4.18928	1.29749	0.000329391
1060	PD-0325901	NRAS	27	25	2	0	1.96E-06	-0.919823	-0.399474	-0.027325	0.198726	-1.05125	0.000422584
38	AZD-0530	BCR_ABL	4	4	0	0	2.03E-06	-2.33807	-1.01541	0.0852828	4.00615	-0.989125	0.000426903
166	FTI-277	FLCN	1	1	0	0	2.12E-06	-1.27848	-0.555236	-0.150008	3.18887	1.097	0.000436027
119	Lapatinib	MET	2	0	2	0	2.43E-06	-2.93785	-1.27589	-0.0394043	4.15142	-0.707	0.000488957
62	BMS-536924	CDKN2A	104	13	0	91	2.89E-06	-0.380306	-0.165165	-0.00354246	3.208	1.85417	0.000567208
1060	PD-0325901	KRAS	78	63	15	0	3.08E-06	-0.538138	-0.23371	-0.0309137	0.282577	-0.654289	0.000592917
88	MS-275	FBXW7	11	10	0	1	3.35E-06	-1.12802	-0.489894	0.251166	1.79647	-0.0117727	0.000630952
1013	Nilotinib	KDM6A	14	10	0	4	4.89E-06	-0.420528	-0.182633	-0.0211087	4.20246	2.88685	0.000901782
1033	GDC-0449	EWS_FLI1	14	14	0	0	8.21E-06	-0.216813	-0.0941608	0.0143211	5.82672	4.60493	0.00148511
34	Imatinib	KDR	1	0	1	0	9.91E-06	-3.0864	-1.3404	-0.19371	4.70902	-0.9727	0.00175609
59	WZ-1-84	CDKN2A	102	13	0	89	1.01E-05	-0.28254	-0.122706	0.00193	5.87844	4.98889	0.00175379
1062	AZD6244	NRAS	27	25	2	0	1.12E-05	-0.838487	-0.36415	-0.0150522	2.85087	1.5763	0.00191042
1039	SL 0101-1	FLT3	3	2	1	0	1.17E-05	-1.08252	-0.470132	-0.197266	5.40483	3.504	0.00195543
1057	NVP-BEZ235	APC	27	26	1	0	1.21E-05	0.701252	0.30455	0.0542259	-2.37794	-1.06787	0.00198917
